sample,raw,qc,denoising,read-merging,clustering,taxa-filter,rare-otus-filter,subsampling,lulu
Soil_RNA_incubated_soil_irrigated_rep4_R1,50000,48965,0,42289 (697 uniques),41742 (574 uniques),41739 (573 uniques),41737 (572 uniques),40226 (572 uniques),40226 (569 uniques)
Soil_DNA_incubated_soil_rainfed_rep4_R1,50000,49249,0,43696 (1382 uniques),43184 (1249 uniques),43108 (1238 uniques),43084 (1226 uniques),40226 (1225 uniques),40226 (1221 uniques)
Soil_DNA_fresh_soil_irrigated_rep1_R1,50000,49119,0,42764 (1311 uniques),42095 (1161 uniques),42033 (1156 uniques),42005 (1142 uniques),40226 (1142 uniques),40226 (1141 uniques)
Soil_RNA_incubated_soil_irrigated_rep2_R1,50000,48812,0,41321 (705 uniques),40817 (614 uniques),40813 (613 uniques),40811 (612 uniques),40226 (612 uniques),40226 (610 uniques)
Soil_DNA_dreid_soil_irrigated_rep4_R1,50000,49292,0,44208 (969 uniques),43234 (814 uniques),43158 (809 uniques),43138 (799 uniques),40226 (799 uniques),40226 (795 uniques)
Soil_DNA_fresh_soil_rainfed_rep2_R1,50000,49188,0,42256 (1122 uniques),41582 (994 uniques),41514 (989 uniques),41502 (983 uniques),40226 (983 uniques),40226 (983 uniques)
Soil_RNA_fresh_soil_rainfed_rep3_R1,50000,48865,0,41014 (612 uniques),40131 (517 uniques),40110 (516 uniques),40108 (515 uniques),0,0
Soil_RNA_reincubated_soil_irrigated_rep2_R1,50000,48535,0,44298 (570 uniques),43160 (441 uniques),43155 (440 uniques),43149 (437 uniques),40226 (437 uniques),40226 (435 uniques)
Soil_DNA_incubated_soil_irrigated_rep2_R1,50000,49216,0,43368 (1359 uniques),42735 (1185 uniques),42689 (1176 uniques),42667 (1165 uniques),40226 (1165 uniques),40226 (1162 uniques)
Soil_RNA_fresh_soil_irrigated_rep2_R1,50000,48921,0,40125 (595 uniques),39876 (514 uniques),39749 (511 uniques),39749 (511 uniques),0,0
Soil_RNA_dreid_soil_irrigated_rep3_R1,50000,48611,0,43834 (659 uniques),42919 (532 uniques),42919 (532 uniques),42913 (529 uniques),40226 (529 uniques),40226 (525 uniques)
Soil_RNA_dreid_soil_irrigated_rep4_R1,50000,48416,0,44050 (687 uniques),42728 (548 uniques),42728 (548 uniques),42720 (544 uniques),40226 (544 uniques),40226 (538 uniques)
Soil_DNA_fresh_soil_rainfed_rep1_R1,50000,49278,0,43350 (1394 uniques),42013 (1229 uniques),41795 (1207 uniques),41753 (1186 uniques),40226 (1186 uniques),40226 (1183 uniques)
Soil_RNA_incubated_soil_rainfed_rep4_R1,50000,48931,0,41241 (648 uniques),39960 (563 uniques),39953 (561 uniques),39951 (560 uniques),0,0
